id;fullname;address;phone_number;email;workplace;birthdate;registration_date;gender;expenses
1;;;8 (475) 014-6494;wkirillov@rambler.ru;;07/09/1966;10/01/2017;F;61975
2;;;+7 (981) 576-1146;bogdanovmoke@rambler.ru;;23/05/1987;14/07/2016;F;75232
3;;;+7 (920) 068-58-36;mjasnikovvalentin@mail.ru;;15/06/1974;18/10/2017;F;88813
4;;;8 334 398 3828;martin85@rambler.ru;;19/10/1979;25/08/2012;F;55167
5;;;8 (296) 455-0453;jan_07@rambler.ru;;14/08/1986;15/03/2017;M;85106
6;;;+7 (540) 539-43-82;vdementev@yandex.ru;;12/05/1961;21/05/2012;F;81297
7;;;71375862125;pavel_1976@yandex.ru;;19/08/1983;17/07/2013;F;82437
8;;;74612028488;cheslav_2008@yandex.ru;;31/07/1972;08/09/2017;F;115064
9;;;8 505 777 79 67;lev1991@yahoo.com;;29/01/1971;16/11/2019;F;92193
10;;;+7 592 074 68 81;samolovauljana@yandex.ru;;27/06/1988;26/11/2016;M;82715
11;;;79840547664;nesterovavarvara@mail.ru;;02/12/1997;03/10/2016;M;89374
12;;;8 (890) 513-9089;shashkovavalentina@hotmail.com;;09/03/1965;18/02/2015;M;73605
13;;;81105600267;merkushevemeljan@gmail.com;;03/01/1991;10/06/2019;M;79226
14;;;+7 (323) 165-6325;tverdislav1994@mail.ru;;09/06/1994;11/10/2018;M;86702
15;;;8 (416) 398-3199;milen_1974@hotmail.com;;01/09/1961;10/12/2012;M;86031
16;;;89011984011;ckalashnikova@rambler.ru;;07/02/1995;17/11/2017;M;85063
17;;;8 (373) 135-7441;rogovamarfa@gmail.com;;08/03/1972;14/02/2014;M;56463
18;;;8 446 399 2976;timofeevevdokim@yahoo.com;;16/06/1972;06/05/2015;F;75635
19;;;+7 977 432 6073;nikiforkabanov@rambler.ru;;30/09/1972;07/10/2014;F;77545
20;;;82167746073;flukina@yandex.ru;;13/10/1970;11/04/2019;F;75361
21;;;8 (849) 518-4640;nturova@gmail.com;;09/12/1992;28/08/2017;F;79467
22;;;+7 (735) 435-83-28;trofim2013@gmail.com;;28/02/1995;01/04/2015;M;89454
23;;;+7 207 190 12 23;miheevradovan@yahoo.com;;13/12/1968;25/04/2013;F;96566
24;;;+7 (932) 771-8966;kuprijansuvorov@mail.ru;;11/05/1966;19/09/2019;F;63535
25;;;8 (034) 415-6169;shirjaevroman@gmail.com;;31/05/1984;24/01/2012;M;97088
26;;;8 235 092 1036;haritonovmartjan@yahoo.com;;11/02/1980;11/03/2015;M;81292
27;;;8 692 623 3072;avgust_14@yandex.ru;;11/03/1968;02/03/2019;F;72850
28;;;+7 (181) 629-1894;kornilovakira@gmail.com;;19/02/1961;24/01/2016;M;87224
29;;;81447842664;mirzhukov@rambler.ru;;13/05/1976;11/01/2019;F;94922
30;;;+7 850 018 59 15;milovan1992@gmail.com;;26/08/1962;22/11/2018;F;69495
31;;;+7 349 248 93 96;rjabovasinklitikija@gmail.com;;19/12/1965;11/03/2017;M;94230
